record_id,text,label,original_job_field,job_title,job_description_clean,key_responsibilities_clean,required_skills_clean,source_row_number,source_url
JD0014,portfolio manager an investment specialist responsible for making the final buy/sell decisions for client portfolios either on a discretionary basis or for a bank s model portfolio. conduct macroeconomic and security-specific research. construct and rebalance investment portfolios to match risk tolerance. monitor market activity and execute trades. communicate investment strategy to clients and advisors. master s in finance or mba. cfa chartered financial analyst designation is the standard.,"Banking, Finance & Audit",Wealth Management,Portfolio Manager,an investment specialist responsible for making the final buy/sell decisions for client portfolios either on a discretionary basis or for a bank s model portfolio.,conduct macroeconomic and security-specific research. construct and rebalance investment portfolios to match risk tolerance. monitor market activity and execute trades. communicate investment strategy to clients and advisors.,master s in finance or mba. cfa chartered financial analyst designation is the standard.,14,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0015,trust officer a fiduciary who administers trusts and estates according to the grantor s wishes managing assets on behalf of beneficiaries. ensure compliance with all legal terms of a trust document. manage trust assets investments and real estate. handle distributions to beneficiaries and all tax filings for the trust. communicate regularly with beneficiaries and their legal counsel. bachelor s degree jd law degree or ctfa certified trust and fiduciary advisor cert is standard.,"Banking, Finance & Audit",Wealth Management,Trust Officer,a fiduciary who administers trusts and estates according to the grantor s wishes managing assets on behalf of beneficiaries.,ensure compliance with all legal terms of a trust document. manage trust assets investments and real estate. handle distributions to beneficiaries and all tax filings for the trust. communicate regularly with beneficiaries and their legal counsel.,bachelor s degree jd law degree or ctfa certified trust and fiduciary advisor cert is standard.,15,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0016,financial planner a specialist who creates comprehensive long-term financial plans for clients often without directly managing the investments. gather and analyze all client financial data income assets insurance . model scenarios for retirement college savings and estate planning. prepare and present a formal financial plan with actionable recommendations. bachelor s degree. cfp certified financial planner certification is required.,"Banking, Finance & Audit",Wealth Management,Financial Planner,a specialist who creates comprehensive long-term financial plans for clients often without directly managing the investments.,gather and analyze all client financial data income assets insurance . model scenarios for retirement college savings and estate planning. prepare and present a formal financial plan with actionable recommendations.,bachelor s degree. cfp certified financial planner certification is required.,16,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0017,credit analyst an analyst who supports relationship managers by performing the financial underwriting on loan requests from business clients. analyze company financial statements balance sheet p l cash flow . perform ratio analysis sensitivity analysis and cash flow modeling. prepare a detailed credit memorandum write-up recommending approval or denial. bachelor s in accounting or finance. strong analytical and excel skills formal credit training.,"Banking, Finance & Audit",Commercial Banking,Credit Analyst,an analyst who supports relationship managers by performing the financial underwriting on loan requests from business clients.,analyze company financial statements balance sheet p l cash flow . perform ratio analysis sensitivity analysis and cash flow modeling. prepare a detailed credit memorandum write-up recommending approval or denial.,bachelor s in accounting or finance. strong analytical and excel skills formal credit training.,17,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0018,underwriter commercial a risk-assessment professional often a senior credit analyst who has the authority to approve or deny a business loan application. perform final due diligence on loan applications. assess all forms of risk credit collateral market . approve deny or restructure loan terms and covenants. hold the final credit authority for the bank. bachelor s in finance/accounting. 5+ years of credit analysis experience and delegated lending authority.,"Banking, Finance & Audit",Commercial Banking,Underwriter (Commercial),a risk-assessment professional often a senior credit analyst who has the authority to approve or deny a business loan application.,perform final due diligence on loan applications. assess all forms of risk credit collateral market . approve deny or restructure loan terms and covenants. hold the final credit authority for the bank.,bachelor s in finance/accounting. 5+ years of credit analysis experience and delegated lending authority.,18,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0019,relationship manager rm the primary sales and client-facing role in commercial banking. manages a portfolio of business clients and is responsible for lending and cross-selling all bank services. act as the primary advisor and contact for a portfolio of business clients. originate new commercial loans c i loans cre loans . cross-sell other bank products e.g. treasury management wealth management . negotiate loan terms pricing and covenants. bachelor s/mba in finance. formal credit training and strong b2b sales skills.,"Banking, Finance & Audit",Commercial Banking,Relationship Manager (RM),the primary sales and client-facing role in commercial banking. manages a portfolio of business clients and is responsible for lending and cross-selling all bank services.,act as the primary advisor and contact for a portfolio of business clients. originate new commercial loans c i loans cre loans . cross-sell other bank products e.g. treasury management wealth management . negotiate loan terms pricing and covenants.,bachelor s/mba in finance. formal credit training and strong b2b sales skills.,19,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0020,treasury management sales officer a specialist who sells cash management products to business clients helping them manage their operating cash flow. sell products like ach/wire services remote deposit capture and fraud protection positive pay . analyze a company s cash conversion cycle to propose solutions. conduct product demos and manage implementation. bachelor s in business. ctp certified treasury professional cert is a plus. strong technical sales skills.,"Banking, Finance & Audit",Commercial Banking,Treasury Management Sales Officer,a specialist who sells cash management products to business clients helping them manage their operating cash flow.,sell products like ach/wire services remote deposit capture and fraud protection positive pay . analyze a company s cash conversion cycle to propose solutions. conduct product demos and manage implementation.,bachelor s in business. ctp certified treasury professional cert is a plus. strong technical sales skills.,20,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0021,treasury management analyst an operations and analytical role that supports the treasury sales officers by implementing products and analyzing client service usage. implement new treasury management services for clients. provide technical support and troubleshooting for cash management products. analyze product pricing and client profitability. bachelor s in finance. technical aptitude project management and analytical skills.,"Banking, Finance & Audit",Commercial Banking,Treasury Management Analyst,an operations and analytical role that supports the treasury sales officers by implementing products and analyzing client service usage.,implement new treasury management services for clients. provide technical support and troubleshooting for cash management products. analyze product pricing and client profitability.,bachelor s in finance. technical aptitude project management and analytical skills.,21,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0022,small business administration sba specialist a lending expert who specializes in originating and processing loans that are backed by the small business administration sba . structure loans according to complex sba guidelines. collect and package all required sba documentation. work with underwriters to ensure full compliance with federal programs. bachelor s degree. deep expertise in all sba lending programs e.g. 7 a 504 .,"Banking, Finance & Audit",Commercial Banking,Small Business Administration (SBA) Specialist,a lending expert who specializes in originating and processing loans that are backed by the small business administration sba .,structure loans according to complex sba guidelines. collect and package all required sba documentation. work with underwriters to ensure full compliance with federal programs.,bachelor s degree. deep expertise in all sba lending programs e.g. 7 a 504 .,22,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0023,commercial real estate cre loan officer a relationship manager who specializes exclusively in lending for commercial property e.g. office buildings apartments retail centers . originate loans for property acquisition development or construction. analyze property cash flows net operating income rent rolls and appraisals. manage a portfolio of cre loans and developer relationships. bachelor s in finance or real estate. expertise in property valuation and construction finance.,"Banking, Finance & Audit",Commercial Banking,Commercial Real Estate (CRE) Loan Officer,a relationship manager who specializes exclusively in lending for commercial property e.g. office buildings apartments retail centers .,originate loans for property acquisition development or construction. analyze property cash flows net operating income rent rolls and appraisals. manage a portfolio of cre loans and developer relationships.,bachelor s in finance or real estate. expertise in property valuation and construction finance.,23,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0024,portfolio manager commercial banking an internal non-sales role that partners with relationship managers to manage the risk and administration of an existing loan portfolio. monitor the financial health of existing borrowers. ensure covenant compliance and collect required financial statements. manage loan renewals extensions and modifications. process loan advances and paydowns. bachelor s in finance/accounting. strong credit analysis and administrative skills.,"Banking, Finance & Audit",Commercial Banking,Portfolio Manager (Commercial Banking),an internal non-sales role that partners with relationship managers to manage the risk and administration of an existing loan portfolio.,monitor the financial health of existing borrowers. ensure covenant compliance and collect required financial statements. manage loan renewals extensions and modifications. process loan advances and paydowns.,bachelor s in finance/accounting. strong credit analysis and administrative skills.,24,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0025,investment banking analyst the entry-level grunt role. responsible for building the financial models doing research and creating the pitch books used to win deals. build complex financial models dcf lbo merger models . perform valuation analysis comps precedents . create pitch books and presentations. work 80-100+ hours per week. bachelor s from a top university. expert-level excel finance and valuation skills intense work ethic.,"Banking, Finance & Audit",Investment Banking,Investment Banking Analyst,the entry-level grunt role. responsible for building the financial models doing research and creating the pitch books used to win deals.,build complex financial models dcf lbo merger models . perform valuation analysis comps precedents . create pitch books and presentations. work 80-100+ hours per week.,bachelor s from a top university. expert-level excel finance and valuation skills intense work ethic.,25,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0026,investment banking associate a post-mba role or a direct promotion that manages the analysts and serves as the bridge between junior and senior bankers. manage and review the analytical work of analysts. draft offering memorandums and management presentations. begin to interact more with clients and coordinate deal processes. mba from a top university or 3+ years as an analyst. strong project management and financial skills.,"Banking, Finance & Audit",Investment Banking,Investment Banking Associate,a post-mba role or a direct promotion that manages the analysts and serves as the bridge between junior and senior bankers.,manage and review the analytical work of analysts. draft offering memorandums and management presentations. begin to interact more with clients and coordinate deal processes.,mba from a top university or 3+ years as an analyst. strong project management and financial skills.,26,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0027,investment banking vp vice president a mid-level senior banker responsible for project management and client relationships. manages the entire deal team and execution process. act as the primary project manager on live deals m a ipos . manage associates and analysts to execute the deal. lead key diligence sessions and client communications. begin to develop their own client network. 3-4+ years as an associate. strong leadership project management and client relationship skills.,"Banking, Finance & Audit",Investment Banking,Investment Banking VP (Vice President),a mid-level senior banker responsible for project management and client relationships. manages the entire deal team and execution process.,act as the primary project manager on live deals m a ipos . manage associates and analysts to execute the deal. lead key diligence sessions and client communications. begin to develop their own client network.,3-4+ years as an associate. strong leadership project management and client relationship skills.,27,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0028,investment banking director svp a senior banker focused almost entirely on client relationship management and winning new business origination . manage senior-level client relationships. identify and pitch new deal ideas to prospective clients. lead negotiations and provide strategic advice to ceos/cfos. proven track record as a vp. expert negotiation strategic and rainmaking sales skills.,"Banking, Finance & Audit",Investment Banking,Investment Banking Director (SVP),a senior banker focused almost entirely on client relationship management and winning new business origination .,manage senior-level client relationships. identify and pitch new deal ideas to prospective clients. lead negotiations and provide strategic advice to ceos/cfos.,proven track record as a vp. expert negotiation strategic and rainmaking sales skills.,28,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0029,managing director md the highest rank. a senior partner responsible for generating millions in revenue by originating deals managing key client relationships and running the business group. serve as the lead relationship manager for the firm s biggest clients. generate significant revenue by winning major m a or capital-raising deals. manage the p l for their industry or product group. set strategy and recruit senior talent. elite track record as a director. world-class reputation network and deal-generation skills.,"Banking, Finance & Audit",Investment Banking,Managing Director (MD),the highest rank. a senior partner responsible for generating millions in revenue by originating deals managing key client relationships and running the business group.,serve as the lead relationship manager for the firm s biggest clients. generate significant revenue by winning major m a or capital-raising deals. manage the p l for their industry or product group. set strategy and recruit senior talent.,elite track record as a director. world-class reputation network and deal-generation skills.,29,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0030,m a analyst/associate an investment banker who works in the mergers acquisitions product group specializing only in advising companies on buying or selling. build complex merger models accretion/dilution analysis . manage the m a process data room and diligence requests. analyze strategic alternatives for clients. all the skills of an ib analyst plus specialized m a modeling expertise.,"Banking, Finance & Audit",Investment Banking,M&A Analyst/Associate,an investment banker who works in the mergers acquisitions product group specializing only in advising companies on buying or selling.,build complex merger models accretion/dilution analysis . manage the m a process data room and diligence requests. analyze strategic alternatives for clients.,all the skills of an ib analyst plus specialized m a modeling expertise.,30,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0031,equity capital markets ecm banker a product group specialist who advises companies on raising money by selling stock e.g. an ipo follow-on offering . advise clients on the optimal timing and structure of equity offerings. manage the ipo execution process drafting prospectus roadshow . act as the liaison between the client and the bank s sales trading desk. expertise in equity valuation market dynamics and sec regulations for ipos.,"Banking, Finance & Audit",Investment Banking,Equity Capital Markets (ECM) Banker,a product group specialist who advises companies on raising money by selling stock e.g. an ipo follow-on offering .,advise clients on the optimal timing and structure of equity offerings. manage the ipo execution process drafting prospectus roadshow . act as the liaison between the client and the bank s sales trading desk.,expertise in equity valuation market dynamics and sec regulations for ipos.,31,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0032,debt capital markets dcm banker a product group specialist who advises companies and governments on raising money by issuing bonds debt . analyze a company s debt profile and credit rating. advise on the optimal timing and structure of a bond issuance. manage the execution pricing and sale of bonds to the market. deep knowledge of fixed-income markets credit ratings and debt structuring.,"Banking, Finance & Audit",Investment Banking,Debt Capital Markets (DCM) Banker,a product group specialist who advises companies and governments on raising money by issuing bonds debt .,analyze a company s debt profile and credit rating. advise on the optimal timing and structure of a bond issuance. manage the execution pricing and sale of bonds to the market.,deep knowledge of fixed-income markets credit ratings and debt structuring.,32,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0033,leveraged finance levfin banker a high-yield specialist who arranges debt junk bonds leveraged loans for companies with low credit ratings often to fund lbos by private equity firms. model complex debt scenarios for lbos. structure and market high-yield debt to institutional investors. work very closely with private equity clients and credit funds. expert-level credit analysis lbo modeling and debt market knowledge.,"Banking, Finance & Audit",Investment Banking,Leveraged Finance (LevFin) Banker,a high-yield specialist who arranges debt junk bonds leveraged loans for companies with low credit ratings often to fund lbos by private equity firms.,model complex debt scenarios for lbos. structure and market high-yield debt to institutional investors. work very closely with private equity clients and credit funds.,expert-level credit analysis lbo modeling and debt market knowledge.,33,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0034,equity research associate supports a senior analyst in covering a universe of public stocks in a specific industry e.g. software . they write research reports and build models. build and maintain financial models for a list of covered stocks. write research reports with buy/sell/hold recommendations. listen to earnings calls and gather industry data. bachelor s in finance/accounting. cfa or progress is required. strong modeling and writing skills.,"Banking, Finance & Audit",Investment Banking,Equity Research Associate,supports a senior analyst in covering a universe of public stocks in a specific industry e.g. software . they write research reports and build models.,build and maintain financial models for a list of covered stocks. write research reports with buy/sell/hold recommendations. listen to earnings calls and gather industry data.,bachelor s in finance/accounting. cfa or progress is required. strong modeling and writing skills.,34,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0035,equity research analyst senior the senior client-facing analyst who publishes research under their own name and serves as an expert for institutional investors e.g. mutual funds . lead an industry coverage team associates . formulate investment theses and make official stock recommendations. build relationships with institutional clients and company management teams. mba or cfa. 7-10+ years of research experience and a stellar reputation/track record.,"Banking, Finance & Audit",Investment Banking,Equity Research Analyst (Senior),the senior client-facing analyst who publishes research under their own name and serves as an expert for institutional investors e.g. mutual funds .,lead an industry coverage team associates . formulate investment theses and make official stock recommendations. build relationships with institutional clients and company management teams.,mba or cfa. 7-10+ years of research experience and a stellar reputation/track record.,35,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0036,sales trading analyst sales a junior role on the sell side sales desk. supports senior salespeople who call on institutional clients hedge funds mutual funds to pitch ideas and take orders. support senior sales staff with research data and client requests. prepare morning update summaries for clients. learn market dynamics and build client relationships. bachelor s degree. must pass sie series 7 and 63. strong communication and sales skills.,"Banking, Finance & Audit",Investment Banking,Sales & Trading Analyst (Sales),a junior role on the sell side sales desk. supports senior salespeople who call on institutional clients hedge funds mutual funds to pitch ideas and take orders.,support senior sales staff with research data and client requests. prepare morning update summaries for clients. learn market dynamics and build client relationships.,bachelor s degree. must pass sie series 7 and 63. strong communication and sales skills.,36,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0037,sales trading analyst trading a junior role on a trading desk e.g. equities bonds derivatives who assists senior traders in executing trades and managing the desk s book risk . execute client trades under the supervision of a senior trader. analyze market data and p l for the trading desk. develop pricing models for specific financial products. bachelor s often in math econ or engineering . must pass sie series 7 and 63. highly quantitative analytical and risk-tolerant.,"Banking, Finance & Audit",Investment Banking,Sales & Trading Analyst (Trading),a junior role on a trading desk e.g. equities bonds derivatives who assists senior traders in executing trades and managing the desk s book risk .,execute client trades under the supervision of a senior trader. analyze market data and p l for the trading desk. develop pricing models for specific financial products.,bachelor s often in math econ or engineering . must pass sie series 7 and 63. highly quantitative analytical and risk-tolerant.,37,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0038,credit risk analyst an internal risk role that analyzes the bank s overall lending portfolio not just one loan to measure risk and ensure diversification. analyze the overall credit risk of the bank s entire loan portfolio. perform stress tests on the portfolio e.g. what if a recession hits . set industry concentration limits and risk appetite for the bank. bachelor s in finance/stats. strong quantitative modeling and data analysis skills.,"Banking, Finance & Audit",Risk Management,Credit Risk Analyst,an internal risk role that analyzes the bank s overall lending portfolio not just one loan to measure risk and ensure diversification.,analyze the overall credit risk of the bank s entire loan portfolio. perform stress tests on the portfolio e.g. what if a recession hits . set industry concentration limits and risk appetite for the bank.,bachelor s in finance/stats. strong quantitative modeling and data analysis skills.,38,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0039,market risk analyst monitors the bank s risk exposure from its own trading desks s t measuring potential losses from moves in interest rates stock prices or currencies. monitor and calculate the bank s risk metrics e.g. value-at-risk or var . ensure trading desks stay within their approved risk limits. report risk exposures directly to senior management and regulators. master s in financial engineering or quantitative finance. highly advanced math stats and programming skills python/r .,"Banking, Finance & Audit",Risk Management,Market Risk Analyst,monitors the bank s risk exposure from its own trading desks s t measuring potential losses from moves in interest rates stock prices or currencies.,monitor and calculate the bank s risk metrics e.g. value-at-risk or var . ensure trading desks stay within their approved risk limits. report risk exposures directly to senior management and regulators.,master s in financial engineering or quantitative finance. highly advanced math stats and programming skills python/r .,39,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0040,operational risk manager identifies and mitigates risks related to internal failures bad processes human error failed systems or external events e.g. fraud natural disasters . map internal business processes to identify potential failure points. develop and implement internal controls to prevent fraud or errors. manage business continuity and disaster recovery plans. bachelor s in business/finance. strong analytical process-mapping and auditing skills.,"Banking, Finance & Audit",Risk Management,Operational Risk Manager,identifies and mitigates risks related to internal failures bad processes human error failed systems or external events e.g. fraud natural disasters .,map internal business processes to identify potential failure points. develop and implement internal controls to prevent fraud or errors. manage business continuity and disaster recovery plans.,bachelor s in business/finance. strong analytical process-mapping and auditing skills.,40,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0041,liquidity risk manager manages the risk that the bank will not have enough cash on hand to meet its short-term obligations e.g. a run on the bank . model the bank s daily weekly and monthly cash flow needs. conduct stress tests on funding sources. manage the bank s portfolio of highly liquid assets. bachelor s/master s in finance. strong cash flow modeling and treasury management skills.,"Banking, Finance & Audit",Risk Management,Liquidity Risk Manager,manages the risk that the bank will not have enough cash on hand to meet its short-term obligations e.g. a run on the bank .,model the bank s daily weekly and monthly cash flow needs. conduct stress tests on funding sources. manage the bank s portfolio of highly liquid assets.,bachelor s/master s in finance. strong cash flow modeling and treasury management skills.,41,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0042,aml anti-money laundering analyst an investigative analyst who monitors customer transactions for suspicious activity to prevent money laundering and terrorist financing. investigate automated alerts for potentially suspicious transactions. conduct deep due diligence on high-risk accounts. write and file suspicious activity reports sars with the government fincen . bachelor s degree criminal justice or finance . strong investigative analytical and writing skills. cams certification is a plus.,"Banking, Finance & Audit",Compliance,AML (Anti-Money Laundering) Analyst,an investigative analyst who monitors customer transactions for suspicious activity to prevent money laundering and terrorist financing.,investigate automated alerts for potentially suspicious transactions. conduct deep due diligence on high-risk accounts. write and file suspicious activity reports sars with the government fincen .,bachelor s degree criminal justice or finance . strong investigative analytical and writing skills. cams certification is a plus.,42,https://www.kaggle.com/datasets/shivamashokgupta/job-description
JD0043,kyc know your customer analyst an onboarding compliance role responsible for performing due diligence on new clients before they open an account to verify their identity and assess their risk. verify the identity of new individual and corporate clients. perform enhanced due diligence edd on high-risk clients. ensure all new client documentation meets legal requirements. bachelor s degree. high attention to detail research skills and knowledge of the bank secrecy act bsa .,"Banking, Finance & Audit",Compliance,KYC (Know Your Customer) Analyst,an onboarding compliance role responsible for performing due diligence on new clients before they open an account to verify their identity and assess their risk.,verify the identity of new individual and corporate clients. perform enhanced due diligence edd on high-risk clients. ensure all new client documentation meets legal requirements.,bachelor s degree. high attention to detail research skills and knowledge of the bank secrecy act bsa .,43,https://www.kaggle.com/datasets/shivamashokgupta/job-description
